iter	Passed	Remaining
432	1676	2194
433	1678	2188
434	1683	2186
435	1694	2192
436	1698	2188
437	1700	2182
438	1702	2175
439	1704	2169
440	1706	2162
441	1707	2156
442	1709	2149
443	1716	2149
444	1734	2163
445	1737	2157
446	1738	2151
447	1740	2145
448	1743	2138
449	1749	2138
450	1751	2131
451	1754	2127
452	1757	2122
453	1763	2120
454	1765	2114
455	1768	2109
456	1770	2103
457	1799	2129
458	1801	2123
459	1804	2117
460	1805	2111
461	1810	2107
462	1811	2101
463	1813	2094
464	1815	2088
465	1817	2082
466	1818	2076
467	1820	2069
468	1822	2063
469	1825	2058
470	1826	2051
471	1828	2045
472	1861	2074
473	1864	2069
474	1866	2062
475	1868	2056
476	1870	2050
477	1875	2048
478	1878	2042
479	1880	2037
480	1883	2032
481	1885	2026
482	1889	2022
483	1891	2016
484	1892	2010
485	1894	2003
486	1896	1997
487	1916	2010
488	1918	2005
489	1924	2003
490	1927	1998
491	1929	1992
492	1932	1987
493	1934	1981
494	1938	1977
495	1940	1971
496	1942	1965
497	1943	1959
498	1945	1953
499	1947	1947
500	1984	1976
501	1986	1970
502	1987	1964
503	1989	1957
504	1991	1951
505	1993	1945
506	1994	1939
507	1996	1933
508	1998	1927
509	2005	1926
510	2010	1923
511	2012	1917
512	2014	1912
513	2016	1906
514	2018	1900
515	2041	1914
516	2042	1908
517	2047	1904
518	2049	1899
519	2051	1893
520	2053	1887
521	2055	1881
522	2068	1886
523	2070	1880
524	2072	1874
525	2074	1869
526	2079	1866
527	2081	1861
528	2083	1855
529	2085	1849
530	2087	1843
531	2089	1838
532	2095	1836
533	2100	1832
534	2102	1827
535	2105	1822
536	2111	1820
537	2113	1815
538	2115	1809
539	2117	1803
540	2119	1798
541	2124	1795
542	2126	1789
543	2128	1784
544	2130	1778
545	2134	1775
546	2139	1771
547	2140	1765
548	2144	1761
549	2145	1755
550	2150	1752
551	2158	1751
552	2160	1746
553	2163	1741
554	2175	1744
555	2178	1739
556	2184	1737
557	2186	1732
558	2189	1727
559	2191	1721
560	2193	1716
561	2210	1722
562	2216	1720
563	2218	1715
564	2220	1709
565	2221	1703
566	2223	1698
567	2232	1697
568	2234	1692
569	2236	1687
570	2238	1681
571	2240	1676
572	2241	1670
573	2244	1666
574	2246	1660
575	2248	1655
576	2257	1655
577	2264	1653
578	2266	1648
579	2268	1642
580	2271	1638
581	2280	1638
582	2283	1632
583	2284	1627
584	2287	1623
585	2294	1621
586	2297	1616
587	2299	1611
588	2301	1606
589	2346	1630
590	2349	1626
591	2351	1620
592	2353	1615
593	2358	1611
594	2364	1609
595	2365	1603
596	2368	1598
597	2370	1593
598	2375	1590
599	2378	1585
600	2380	1580
601	2394	1582
602	2396	1577
603	2398	1572
604	2400	1567
605	2407	1565
606	2409	1560
607	2412	1555
608	2414	1550
609	2421	1547
610	2430	1547
611	2432	1542
612	2434	1537
613	2437	1532
614	2439	1527
615	2454	1530
616	2457	1525
617	2463	1522
618	2466	1518
619	2469	1513
620	2472	1508
621	2479	1507
622	2483	1503
623	2486	1498
624	2487	1492
625	2492	1489
626	2496	1484
627	2497	1479
628	2501	1475
629	2504	1470
630	2509	1467
631	2516	1465
632	2519	1460
633	2520	1455
634	2526	1452
635	2530	1448
636	2533	1443
637	2534	1438
638	2536	1433
639	2542	1430
640	2545	1425
641	2562	1428
642	2564	1423
643	2568	1419
644	2576	1418
645	2582	1414
646	2584	1410
647	2588	1405
648	2590	1400
649	2591	1395
650	2593	1390
651	2595	1385
652	2597	1380
653	2601	1376
654	2603	1371
655	2605	1366
656	2607	1361
657	2609	1356
658	2610	1350
659	2615	1347
660	2618	1342
661	2619	1337
662	2621	1332
663	2624	1327
664	2625	1322
665	2633	1320
666	2635	1315
667	2640	1312
668	2642	1307
669	2647	1303
670	2649	1298
671	2650	1293
672	2652	1288
673	2666	1289
674	2669	1285
675	2672	1280
676	2673	1275
677	2679	1272
678	2680	1267
679	2683	1263
680	2689	1260
681	2693	1255
682	2695	1251
683	2697	1246
684	2699	1241
685	2701	1236
686	2702	1231
687	2704	1226
688	2706	1221
689	2713	1219
690	2715	1214
691	2716	1209
692	2719	1204
693	2722	1200
694	2732	1199
695	2734	1194
696	2736	1189
697	2738	1184
698	2740	1180
699	2742	1175
700	2744	1170
701	2746	1165
702	2747	1160
703	2749	1156
704	2751	1151
705	2764	1151
706	2767	1146
707	2769	1142
708	2772	1138
709	2781	1135
710	2782	1131
711	2784	1126
712	2789	1122
713	2791	1118
714	2795	1114
715	2797	1109
716	2799	1104
717	2800	1100
718	2806	1097
719	2809	1092
720	2811	1088
721	2813	1083
722	2816	1078
723	2829	1078
724	2832	1074
725	2835	1070
726	2837	1065
727	2839	1060
728	2841	1056
729	2842	1051
730	2844	1046
731	2855	1045
732	2856	1040
733	2860	1036
734	2865	1033
735	2869	1029
736	2870	1024
737	2872	1019
738	2884	1018
739	2888	1014
740	2889	1010
741	2891	1005
742	2899	1003
743	2901	998
744	2903	993
745	2906	989
746	2907	984
747	2911	980
748	2912	976
749	2914	971
750	2916	966
751	2918	962
752	2926	960
753	2928	955
754	2930	950
755	2932	946
756	2934	941
757	2938	938
758	2941	933
759	2943	929
760	2945	925
761	2948	920
762	2950	916
763	2956	913
764	2958	908
765	2960	904
766	2964	900
767	2972	897
768	2974	893
769	2979	889
770	2981	885
771	2985	881
772	2989	878
773	2991	873
774	2993	869
775	2995	864
776	2997	860
777	3004	857
778	3006	852
779	3008	848
780	3009	843
781	3024	843
782	3026	838
783	3027	834
784	3029	829
785	3035	826
786	3037	822
787	3039	817
788	3040	813
789	3042	808
790	3044	804
791	3052	801
792	3054	797
793	3056	793
794	3058	788
795	3060	784
796	3063	780
797	3065	776
798	3067	771
799	3069	767
800	3071	763
801	3072	758
802	3074	754
803	3076	749
804	3079	745
805	3081	741
806	3082	737
807	3084	732
808	3086	728
809	3088	724
810	3090	720
811	3091	715
812	3095	711
813	3097	707
814	3099	703
815	3101	699
816	3104	695
817	3105	691
818	3109	687
819	3112	683
820	3114	678
821	3116	674
822	3117	670
823	3120	666
824	3121	662
825	3124	658
826	3126	654
827	3128	649
828	3131	645
829	3132	641
830	3135	637
831	3138	633
832	3141	629
833	3143	625
834	3144	621
835	3146	617
836	3148	613
837	3150	608
838	3152	604
839	3159	601
840	3164	598
841	3166	594
842	3168	590
843	3171	586
844	3173	582
845	3210	584
846	3211	580
847	3213	576
848	3215	571
849	3217	567
850	3223	564
851	3225	560
852	3227	556
853	3229	552
854	3230	547
855	3232	543
856	3235	539
857	3239	536
858	3241	532
859	3242	527
860	3244	523
861	3246	519
862	3248	515
863	3249	511
864	3251	507
865	3253	503
866	3255	499
867	3259	495
868	3261	491
869	3263	487
870	3264	483
871	3266	479
872	3268	475
873	3269	471
874	3271	467
875	3273	463
876	3275	459
877	3305	459
878	3309	455
879	3311	451
880	3315	447
881	3317	443
882	3319	439
883	3320	435
884	3322	431
885	3324	427
886	3326	423
887	3328	419
888	3329	415
889	3331	411
890	3333	407
891	3335	403
892	3337	399
893	3339	395
894	3356	393
895	3358	389
896	3361	385
897	3363	382
898	3364	378
899	3366	374
900	3368	370
901	3370	366
902	3371	362
903	3375	358
904	3377	354
905	3378	350
906	3380	346
907	3382	342
908	3384	338
909	3385	334
910	3414	333
911	3416	329
912	3417	325
913	3425	322
914	3452	320
915	3456	316
916	3458	313
917	3460	309
918	3462	305
919	3463	301
920	3465	297
921	3467	293
922	3469	289
923	3472	285
924	3474	281
925	3476	277
926	3510	276
927	3512	272
928	3519	268
929	3521	265
930	3523	261
931	3524	257
932	3526	253
933	3528	249
934	3535	245
935	3537	241
936	3539	237
937	3541	234
938	3543	230
939	3544	226
940	3552	222
941	3554	218
942	3584	216
943	3586	212
944	3588	208
945	3590	204
946	3604	201
947	3605	197
948	3607	193
949	3609	189
950	3613	186
951	3618	182
952	3620	178
953	3634	175
954	3636	171
955	3638	167
956	3677	165
957	3680	161
958	3682	157
959	3719	154
960	3720	151
961	3722	147
962	3726	143
963	3766	140
964	3767	136
965	3769	132
966	3771	128
967	3774	124
968	3776	120
969	3778	116
970	3779	112
971	3781	108
972	3783	104
973	3785	101
974	3790	97
975	3792	93
976	3793	89
977	3795	85
978	3803	81
979	3805	77
980	3809	73
981	3811	69
982	3813	65
983	3816	62
984	3817	58
985	3819	54
986	3825	50
987	3827	46
988	3830	42
989	3836	38
990	3839	34
991	3842	30
992	3847	27
993	3855	23
994	3859	19
995	3861	15
996	3867	11
997	3871	7
998	3872	3
999	3874	0
